{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:33:30'}
{'1': 'event', '2': 'config update', '3': {'success': 1}, '4': '2023-11-06 23:33:38'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'temp measurement', '3': {5: 0.5}, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'temp measurement', '3': {6: 0.5}, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'temp measurement', '3': {7: 0.5}, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:34:00'}
{'1': 'state', '2': 'set temp', '3': {1: 1}, '4': '2023-11-06 23:34:01'}
{'1': 'state', '2': 'set temp', '3': {2: 0.0}, '4': '2023-11-06 23:34:01'}
{'1': 'state', '2': 'set temp', '3': {3: 0.0}, '4': '2023-11-06 23:34:01'}
{'1': 'state', '2': 'set temp', '3': {4: 0.0}, '4': '2023-11-06 23:34:01'}
{'1': 'state', '2': 'set temp', '3': {5: 0.0}, '4': '2023-11-06 23:34:01'}
{'1': 'state', '2': 'set temp', '3': {6: 0.0}, '4': '2023-11-06 23:34:01'}
{'1': 'state', '2': 'set temp', '3': {7: 0.0}, '4': '2023-11-06 23:34:01'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:34:01'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:34:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:34:30'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:35:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:35:01'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:35:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:35:30'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:36:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:36:01'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:36:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:36:30'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:37:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:37:01'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:37:30'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:37:30'}
{'1': 'state', '2': 'override detection', '3': 1, '4': '2023-11-06 23:38:00'}
{'1': 'event', '2': 'external temp update', '3': {'success': 1}, '4': '2023-11-06 23:38:01'}
{'1': 'event', '2': 'override update', '3': {'success': 1}, '4': '2023-11-06 23:38:02'}
{'1': 'state', '2': 'temp measurement', '3': {1: 0.5}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'temp measurement', '3': {2: 0.5}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'temp measurement', '3': {3: 0.5}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'temp measurement', '3': {4: 0.5}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'temp measurement', '3': {5: 0.5}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'temp measurement', '3': {6: 0.5}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'temp measurement', '3': {7: 0.5}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'set temp', '3': {1: 0.0}, '4': '2023-11-06 23:38:30'}
{'1': 'state', '2': 'set temp', '3': {2: 0.0}, '4': '2023-11-06 23:38:30'}
